date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2013-12-11,7.992999999999999,406204.35869565216,0.16129032258064516,164730.38043478262,206826.28260869565,140983.80434782608,18.967741935483872,50820.012347760814
2013-12-12,7.992999999999999,406319.9130434783,0.1774193548387097,164768.69565217392,206742.1739130435,141035.95652173914,19.064516129032256,50834.469291064466
2013-12-13,7.992999999999999,406435.4673913043,0.1935483870967742,164807.01086956522,206658.0652173913,141088.10869565216,19.161290322580644,50848.92623436812
2013-12-14,7.992999999999999,406551.02173913043,0.2096774193548387,164845.3260869565,206573.95652173914,141140.26086956522,19.258064516129032,50863.38317767177
2013-12-15,7.992999999999999,406666.57608695654,0.22580645161290322,164883.64130434784,206489.84782608695,141192.41304347827,19.35483870967742,50877.84012097542
2013-12-16,7.992999999999999,406782.1304347826,0.24193548387096775,164921.95652173914,206405.73913043478,141244.5652173913,19.451612903225808,50892.297064279075
2013-12-17,7.992999999999999,406897.6847826087,0.25806451612903225,164960.27173913043,206321.63043478262,141296.71739130435,19.548387096774192,50906.75400758273
2013-12-18,7.992999999999999,407013.23913043475,0.27419354838709675,164998.58695652173,206237.52173913043,141348.86956521738,19.64516129032258,50921.21095088637
2013-12-19,7.992999999999999,407128.79347826086,0.29032258064516125,165036.90217391305,206153.41304347827,141401.02173913043,19.741935483870968,50935.667894190025
2013-12-20,7.992999999999999,407244.347826087,0.3064516129032258,165075.21739130435,206069.30434782608,141453.1739130435,19.838709677419356,50950.124837493684
2013-12-21,7.992999999999999,407359.902173913,0.3225806451612903,165113.53260869565,205985.19565217392,141505.3260869565,19.935483870967744,50964.58178079733
2013-12-22,7.992999999999999,407475.45652173914,0.3387096774193548,165151.84782608695,205901.08695652173,141557.47826086957,20.032258064516128,50979.03872410098
2013-12-23,7.992999999999999,407591.01086956525,0.3548387096774194,165190.16304347827,205816.97826086957,141609.63043478262,20.129032258064516,50993.49566740464
2013-12-24,7.992999999999999,407706.5652173913,0.3709677419354839,165228.47826086957,205732.8695652174,141661.78260869565,20.225806451612904,51007.952610708286
2013-12-25,7.992999999999999,407822.1195652174,0.3870967741935484,165266.79347826086,205648.76086956522,141713.9347826087,20.32258064516129,51022.40955401194
2013-12-26,7.992999999999999,407937.67391304346,0.4032258064516129,165305.10869565216,205564.65217391305,141766.08695652173,20.419354838709676,51036.86649731559
2013-12-27,7.992999999999999,408053.22826086957,0.4193548387096774,165343.4239130435,205480.54347826086,141818.23913043478,20.516129032258064,51051.32344061924
2013-12-28,7.992999999999999,408168.7826086957,0.43548387096774194,165381.73913043478,205396.4347826087,141870.39130434784,20.612903225806452,51065.780383922895
2013-12-29,7.992999999999999,408284.3369565217,0.45161290322580644,165420.05434782608,205312.3260869565,141922.54347826086,20.70967741935484,51080.23732722654
2013-12-30,7.992999999999999,408399.89130434784,0.46774193548387094,165458.36956521738,205228.21739130435,141974.69565217392,20.806451612903224,51094.6942705302
2013-12-31,7.992999999999999,408515.4456521739,0.4838709677419355,165496.6847826087,205144.10869565216,142026.84782608695,20.903225806451612,51109.151213833844
2014-01-01,7.992999999999999,408631.0,0.5,165535.0,205060.0,142079.0,21.0,51123.608157137496
2014-01-02,7.992999999999999,407611.8222222222,0.49032258064516127,165381.4111111111,204591.03333333333,142026.77777777778,22.064516129032256,50996.099364721915
2014-01-03,7.992999999999999,406592.64444444445,0.4806451612903226,165227.82222222222,204122.06666666668,141974.55555555556,23.129032258064516,50868.590572306326
2014-01-04,7.992999999999999,405573.4666666667,0.47096774193548385,165074.23333333334,203653.1,141922.33333333334,24.193548387096776,50741.081779890745
2014-01-05,7.992999999999999,404554.2888888889,0.4612903225806452,164920.64444444445,203184.13333333333,141870.11111111112,25.258064516129032,50613.572987475156
2014-01-06,7.992999999999999,403535.1111111111,0.45161290322580644,164767.05555555556,202715.16666666666,141817.88888888888,26.32258064516129,50486.064195059575
2014-01-07,7.992999999999999,402515.93333333335,0.44193548387096776,164613.46666666667,202246.2,141765.66666666666,27.387096774193548,50358.555402643986
2014-01-08,7.992999999999999,401496.7555555556,0.432258064516129,164459.8777777778,201777.23333333334,141713.44444444444,28.451612903225808,50231.0466102284
2014-01-09,7.992999999999999,400477.5777777778,0.42258064516129035,164306.2888888889,201308.26666666666,141661.22222222222,29.516129032258064,50103.537817812816
2014-01-10,7.992999999999999,399458.4,0.4129032258064516,164152.7,200839.3,141609.0,30.58064516129032,49976.02902539723
2014-01-11,7.992999999999999,398439.22222222225,0.4032258064516129,163999.11111111112,200370.33333333334,141556.77777777778,31.64516129032258,49848.520232981646
2014-01-12,7.992999999999999,397420.0444444445,0.3935483870967742,163845.52222222224,199901.36666666667,141504.55555555556,32.70967741935484,49721.01144056606
2014-01-13,7.992999999999999,396400.86666666664,0.38387096774193546,163691.93333333332,199432.4,141452.33333333334,33.774193548387096,49593.50264815047
2014-01-14,7.992999999999999,395381.68888888886,0.37419354838709673,163538.34444444443,198963.43333333332,141400.11111111112,34.83870967741935,49465.99385573488
2014-01-15,7.992999999999999,394362.5111111111,0.36451612903225805,163384.75555555554,198494.46666666667,141347.88888888888,35.903225806451616,49338.48506331929
2014-01-16,7.992999999999999,393343.3333333333,0.3548387096774194,163231.16666666666,198025.5,141295.66666666666,36.96774193548387,49210.97627090371
2014-01-17,7.992999999999999,392324.15555555554,0.34516129032258064,163077.57777777777,197556.53333333333,141243.44444444444,38.03225806451613,49083.46747848812
2014-01-18,7.992999999999999,391304.97777777776,0.3354838709677419,162923.98888888888,197087.56666666668,141191.22222222222,39.096774193548384,48955.95868607254
2014-01-19,7.992999999999999,390285.8,0.3258064516129032,162770.4,196618.6,141139.0,40.16129032258064,48828.44989365695
2014-01-20,7.992999999999999,389266.6222222222,0.31612903225806455,162616.8111111111,196149.63333333333,141086.77777777778,41.225806451612904,48700.94110124137
2014-01-21,7.992999999999999,388247.44444444444,0.3064516129032258,162463.22222222222,195680.66666666666,141034.55555555556,42.29032258064516,48573.43230882578
2014-01-22,7.992999999999999,387228.26666666666,0.2967741935483871,162309.63333333333,195211.7,140982.33333333334,43.354838709677416,48445.92351641019
2014-01-23,7.992999999999999,386209.0888888889,0.2870967741935484,162156.04444444444,194742.73333333334,140930.11111111112,44.41935483870968,48318.41472399461
2014-01-24,7.992999999999999,385189.9111111111,0.27741935483870966,162002.45555555556,194273.76666666666,140877.88888888888,45.483870967741936,48190.90593157902
2014-01-25,7.992999999999999,384170.73333333334,0.26774193548387093,161848.86666666667,193804.8,140825.66666666666,46.54838709677419,48063.39713916344
2014-01-26,7.992999999999999,383151.55555555556,0.25806451612903225,161695.27777777778,193335.83333333334,140773.44444444444,47.61290322580645,47935.88834674785
2014-01-27,7.992999999999999,382132.3777777778,0.24838709677419352,161541.6888888889,192866.86666666667,140721.22222222222,48.677419354838705,47808.37955433227
2014-01-28,7.992999999999999,381113.2,0.23870967741935484,161388.1,192397.9,140669.0,49.74193548387097,47680.87076191668
2014-01-29,7.992999999999999,380094.02222222224,0.2290322580645161,161234.51111111112,191928.93333333335,140616.77777777778,50.806451612903224,47553.36196950109
2014-01-30,7.992999999999999,379074.84444444446,0.21935483870967742,161080.92222222223,191459.96666666667,140564.55555555556,51.87096774193548,47425.85317708551
2014-01-31,7.992999999999999,378055.6666666667,0.2096774193548387,160927.33333333334,190991.0,140512.33333333334,52.935483870967744,47298.34438466992
2014-02-01,7.992999999999999,377036.4888888889,0.2,160773.74444444446,190522.03333333333,140460.11111111112,54.0,47170.83559225434
2014-02-02,7.992999999999999,376017.31111111114,0.22142857142857145,160620.15555555557,190053.06666666668,140407.88888888888,54.214285714285715,47043.32679983875
2014-02-03,7.992999999999999,374998.1333333333,0.24285714285714288,160466.56666666668,189584.1,140355.66666666666,54.42857142857143,46915.818007423164
